,movie name,meter_score,audience_score
1041,dear white people,91,62%
1042,the water diviner,62,60%
1043,my old lady,60,43%
1044,mr. turner,60,43%
1045,default,38,36%
1046,calvary,38,36%
1047,wish i was here,46,59%
1048,east side sushi,94,83%
1049,mommy,,25%
1050,learning to drive,67,59%
1051,what we do in the shadows,96,86%
1052,veronica mars,79,78%
1053,treehouse,,14%
1054,rosewater,77,68%
1055,obvious child,90,72%
1056,relatos salvajes,90,72%
1057,before i go to sleep,36,40%
1058,the trip to italy,36,40%
1059,the fluffy movie: unity through laughter,36,40%
1060,the identical,6,62%
1061,saving christmas,0,30%
1062,the pyramid,0,30%
1063,the good lie,0,30%
1064,the raid 2,80,87%
1065,the admiral,80,87%
1066,bang bang,80,87%
1067,kick,,
1068,kill the messenger,,
1069,pawn sacrifice,71,66%
1070,the homesman,81,52%
1071,gukjesijang,81,52%
1072,love is strange,,
1073,2 states,57,65%
1074,old fashioned,19,85%
1075,cake,19,85%
1076,testament of youth,84,78%
1077,tusk,,36%
1078,clouds of sils maria,90,65%
1079,astérix: le domaine des dieux,90,65%
1080,the letters,90,65%
1081,persecuted,0,58%
1082,"two days, one night",0,58%
1083,infinitely polar bear,81,71%
1084,99 homes,92,78%
1085,turist,92,78%
1086,'71,92,78%
1087,jai ho,22,48%
1088,singham returns,38,45%
1089,black sea,80,59%
1090,the remaining,50,38%
1091,goodnight mommy,85,65%
1092,hector and the search for happiness,37,61%
1093,the rover,66,51%
1094,where hope grows,46,75%
1095,leviathan,17,26%
1096,timbuktu,17,26%
1097,50 to 1,17,70%
1098,5 flights up,47,43%
1099,the song,31,82%
1100,big stone gap,35,54%
1101,gett,35,54%
1102,the babadook,98,72%
1103,haider,91,88%
1104,más negro que la noche,,81%
1105,song of the sea,,
1106,atlas shrugged: who is john galt?,,
1107,im labyrinth des schweigens,82,78%
1108,xin hua lu fang,82,78%
1109,omoide no mânî,90,88%
1110,land ho!,90,88%
1111,yves saint laurent,45,39%
1112,khoobsurat,,25%
1113,xi you ji: da nao tian gong,,25%
1114,holiday: a soldier is never off duty,,25%
1115,a matter of faith,,25%
1116,kochadaiiyaan,,25%
1117,frank,,25%
1118,"kumiko, the treasure hunter",,25%
1119,welcome to me,74,46%
1120,the signal,74,46%
1121,mary kom,83,62%
1122,the disappearance of eleanor rigby: them,83,62%
1123,shaadi ke side effects,56,30%
1124,cong cong na nian,56,30%
1125,jimmy's hall,56,30%
1126,a little chaos,46,48%
1127,highway,,69%
1128,finding fanny,73,46%
1129,the one i love,81,76%
1130,unsullied,,69%
1131,the two faces of january,82,48%
1132,23 blast,38,67%
1133,"men, women & children",38,67%
1134,félix et meira,78,61%
1135,laggies,66,49%
1136,bei jing ai qing gu shi,66,49%
1137,saint laurent,60,39%
1138,yi sheng yi shi,60,39%
1139,cold in july,60,39%
1140,ek villain,,57%
1141,humpty sharma ki dulhania,,44%
1142,gui lai,,44%
1143,hae-jeok: ba-da-ro gan san-jeok,,44%
1144,maps to the stars,62,44%
1145,noble,62,44%
1146,effie gray,41,37%
1147,hasee toh phasee,,58%
1148,the prophet,80,71%
1149,i origins,51,69%
1150,the guest,51,69%
1151,good kill,75,49%
1152,happy ending,20,39%
1153,theeb,97,76%
1154,dancing arabs,93,76%
1155,kundo: min-ran-eui si-dae,93,76%
1156,fehér isten,88,71%
1157,l'homme qu'on aimait trop,88,71%
1158,i'm your hero,88,71%
1159,wei ai zhi jian ru jia jing,88,71%
1160,tajja: sineui son,88,71%
1161,veeram,,58%
1162,la chambre bleue,88,51%
1163,diplomatie,94,81%
1164,jilla,,60%
1165,zhì qu weihu shan,,60%
1166,dr. cabbie,,60%
1167,en duva satt på en gren och funderade på tillvaron,,60%
1168,fen shou da shi,,60%
1169,rob the mob,84,56%
1170,gemma bovery,53,43%
1171,serena,53,43%
1172,mo jing,53,43%
1173,mita tova,94,72%
1174,time out of mind,,
1175,3 coeurs,,
1176,plemya,87,69%
1177,loud,87,69%
1178,samba,,
1179,jinn,18,32%
1180,desert dancer,30,62%
1181,a brilliant young mind,87,78%
1182,the last five years,87,78%
1183,listen up philip,83,54%
1184,sa jiao nu ren zui hao ming,83,54%
1185,manglehorn,49,25%
1186,raja natwarlal,,64%
1187,une nouvelle amie,,64%
1188,bangalore days,,91%
1189,yi ge ren de wu lin,,91%
1190,boulevard,,13%
1191,5 to 7,69,70%
1192,escobar: paradise lost,69,70%
1193,adult beginners,49,30%
1194,god's pocket,49,30%
1195,efes beyahasei enosh,49,30%
1196,god help the girl,68,59%
1197,hoje eu quero voltar sozinho,92,89%
1198,anime nere,90,70%
1199,last weekend,32,36%
1200,huang jin shi dai,63,62%
1201,man from reno,95,80%
1202,cuban fury,52,43%
1203,she's funny that way,52,43%
1204,roar,70,52%
1205,life after beth,43,30%
1206,heaven knows what,87,66%
1207,six dance lessons in six weeks,45,55%
1208,better living through chemistry,22,38%
1209,le meraviglie,95,65%
1210,predestination,84,75%
1211,the algerian,,91%
1212,heroic antics,,91%
1213,the dark horse,,91%
1214,frontera,,91%
1215,cooties,43,37%
1216,flowers,,
1217,clown,,14%
1218,beloved sisters,,14%
1219,aloft,16,24%
1220,kraftidioten,85,73%
1221,spring,85,73%
1222,the bag man,9,22%
1223,the one i wrote for you,9,22%
1224,beyond the reach,37,20%
1225,low down,37,20%
1226,lost river,37,20%
1227,river of fundament,,
1228,respire,,
1229,hellion,,16%
1230,walk of shame,,16%
1231,difret,86,69%
1232,rudderless,63,83%
1233,before we go,21,55%
1234,not cool,14,75%
1235,rakuen tsuiho: expelled from paradise,14,75%
1236,gekijouban tiger & bunny: the rising,14,75%
1237,white bird in a blizzard,55,43%
1238,queen & country,55,43%
1239,the duke of burgundy,94,66%
1240,amira & sam,94,66%
1241,the hero of color city,25,49%
1242,song one,34,29%
1243,happy christmas,75,37%
1244,der vampir auf der couch,63,50%
1245,runoff,63,50%
1246,a long way off,,56%
1247,the cut,60,66%
1248,match,,50%
1249,"like sunday, like rain",,50%
1250,the keeping room,75,50%
1251,ping pong summer,58,32%
1252,olvidados,58,32%
1253,kill me three times,16,30%
1254,les combattants,81,65%
1255,rocks in my pockets,100,68%
1256,winter's tale,100,68%
1257,nightlights,,83%
1258,lilting,83,80%
1259,boy meets girl,83,80%
1260,praia do futuro,83,80%
1261,this last lonely place,,
1262,christian mingle,,
1263,the romans,,
1264,pro wrestlers vs zombies,,13%
1265,the little death,,40%
1266,3 holes and a smoking gun,40,67%
1267,a bit of bad luck,,50%
1268,hippocrates: diary of a french doctor,,50%
1269,big game,,50%
1270,two night stand,40,45%
1271,kawaki,40,45%
1272,una vida: a fable of music and the mind,40,45%
1273,"love, rosie",40,45%
1274,bird people,59,39%
1275,goodbye to all that,62,31%
1276,buzzard,87,61%
1277,a long way down,21,40%
1278,a reason,,100%
1279,amour fou,88,49%
1280,gone doggy gone,71,87%
1281,barefoot,,85%
1282,marie's story,,85%
1283,as it is in heaven,,85%
1284,trash,,46%
1285,before i disappear,38,67%
1286,camp x-ray,38,67%
1287,serial killer 1,38,67%
1288,honeymoon,,8%
1289,13 sins,62,45%
1290,falcon rising,43,42%
1291,meet me in montenegro,50,59%
1292,the quitter,,80%
1293,zombeavers,70,31%
1294,just before i go,10,58%
1295,the mystery of happiness,10,58%
1296,iceman,83,
1297,life partners,66,46%
1298,le grand homme,67,33%
1299,the historian,,85%
1300,stage fright,,40%
1301,abcs of death 2,75,39%
1302,northern soul,77,55%
1303,the jazz funeral,,
1304,i nostri ragazzi,,40%
1305,days and nights,,83%
1306,alléluia,,83%
1307,bhopal: a prayer for rain,,83%
1308,kid cannabis,71,64%
1309,kelly & cal,71,64%
1310,fallout wasteland,71,64%
1311,the salvation,72,62%
1312,the dead lands,69,56%
1313,the devil's hand,69,56%
1314,come back to me,17,36%
1315,how to save us,,44%
1316,hollidaysburg,75,60%
1317,obietnica,,17%
1318,reclaim,,
1319,set fire to the stars,56,31%
1320,xenia,56,31%
1321,fidelio: alice's odyssey,56,31%
1322,julia,56,31%
1323,sbk the-movie,56,31%
1324,arrête ou je continue,71,36%
1325,v/h/s viral,71,36%
1326,locker 13,13,55%
1327,gabriel,,60%
1328,the reconstruction of william zero,29,29%
1329,two-bit waltz,29,29%
1330,cut snake,67,45%
1331,alone,67,45%
1332,3 nights in the desert,67,45%
1333,skin trade,25,29%
1334,anything for alice,,14%
1335,sunrise,98,92%
1336,she's lost control,98,92%
1337,big muddy,57,17%
1338,blood brother,73,88%
1339,la prochaine fois je viserai le coeur,73,88%
1340,star wars: the force awakens,73,88%
1341,jurassic world,71,78%
1342,avengers: age of ultron,71,78%
1343,inside out,,37%
1344,furious 7,80,82%
1345,minions,56,49%
1346,the hunger games: mockingjay - part 2,56,49%
1347,the martian,91,91%
1348,cinderella,91,91%
1349,spectre,,50%
1350,mission: impossible - rogue nation,,50%
1351,pitch perfect 2,65,64%
1352,the revenant,65,64%
1353,ant-man,65,64%
1354,home,65,64%
1355,hotel transylvania 2,55,64%
1356,fifty shades of grey,25,41%
1357,the spongebob movie: sponge out of water,25,41%
1358,straight outta compton,88,91%
1359,san andreas,51,52%
1360,mad max: fury road,51,52%
1361,daddy's home,51,52%
1362,insurgent,29,58%
1363,the peanuts movie,87,76%
1364,the good dinosaur,76,65%
1365,spy,,
1366,trainwreck,85,66%
1367,creed,95,89%
1368,tomorrowland,95,89%
1369,get hard,28,45%
1370,terminator genisys,26,53%
1371,sisters,26,53%
1372,alvin and the chipmunks: the road chip,26,53%
1373,maze runner: the scorch trials,26,53%
1374,ted 2,46,50%
1375,goosebumps,46,50%
1376,pixels,17,46%
1377,the intern,59,73%
1378,bridge of spies,59,73%
1379,paul blart: mall cop 2,59,73%
1380,the big short,88,87%
1381,war room,95,83%
1382,magic mike xxl,65,55%
1383,the visit,,
1384,the wedding ringer,28,63%
1385,black mass,,
1386,vacation,,60%
1387,the perfect guy,18,51%
1388,joy,,
1389,fantastic four,27,45%
1390,the hateful eight,74,76%
1391,focus,56,63%
1392,southpaw,69,82%
1393,insidious: chapter 3,69,82%
1394,poltergeist,69,82%
1395,jupiter ascending,69,82%
1396,sicario,,89%
1397,the man from u.n.c.l.e.,,89%
1398,spotlight,,89%
1399,"mcfarland, usa",,89%
1400,the gift,,89%
1401,everest,,89%
1402,the night before,,89%
1403,max,69,64%
1404,krampus,66,51%
1405,the age of adaline,56,67%
1406,brooklyn,97,87%
1407,the longest ride,30,71%
1408,the boy next door,,25%
1409,pan,,25%
1410,concussion,,25%
1411,hot pursuit,,
1412,the duff,71,66%
1413,woman in gold,56,79%
1414,the second best exotic marigold hotel,64,59%
1415,entourage,33,57%
1416,paper towns,57,47%
1417,chappie,32,56%
1418,crimson peak,72,55%
1419,a walk in the woods,46,48%
1420,point break,68,79%
1421,sinister 2,68,79%
1422,the last witch hunter,17,43%
1423,no escape,50,41%
1424,ricki and the flash,63,43%
1425,run all night,59,56%
1426,love the coopers,19,36%
1427,the lazarus effect,15,23%
1428,the witch,15,23%
1429,in the heart of the sea,43,53%
1430,the gallows,15,22%
1431,hitman: agent 47,15,22%
1432,project almanac,36,45%
1433,aloha,36,45%
1434,secret in their eyes,91,93%
1435,shaun the sheep movie,99,80%
1436,eye in the sky,95,83%
1437,paranormal activity: the ghost dimension,95,83%
1438,steve jobs,95,83%
1439,mr. holmes,95,83%
1440,dope,,
1441,the transporter refueled,16,30%
1442,eddie the eagle,80,82%
1443,room,80,82%
1444,"hello, my name is doris",80,82%
1445,american ultra,43,45%
1446,woodlawn,71,80%
1447,burnt,29,44%
1448,do you believe?,21,83%
1449,carol,94,73%
1450,the danish girl,67,72%
1451,strange magic,17,51%
1452,hot tub time machine 2,14,26%
1453,self/less,14,26%
1454,far from the madding crowd,14,26%
1455,the 33,47,59%
1456,the gunman,47,59%
1457,unfinished business,,
1458,the walk,,
1459,the lady in the van,89,64%
1460,hardcore henry,50,54%
1461,huevos: little rooster's egg-cellent adventure,50,54%
1462,the lobster,87,64%
1463,bajrangi bhaijaan,100,86%
1464,trumbo,74,79%
1465,mortdecai,12,29%
1466,i'll see you in my dreams,12,29%
1467,blackhat,33,24%
1468,our brand is crisis,92,76%
1469,grandma,,67%
1470,me and earl and the dying girl,81,86%
1471,bahubali: the beginning,81,86%
1472,bajirao mastani,67,74%
1473,little boy,67,74%
1474,victor frankenstein,67,74%
1475,danny collins,77,73%
1476,dilwale,,33%
1477,true story,,33%
1478,90 minutes in heaven,24,50%
1479,suffragette,73,68%
1480,found a treasure called love,73,68%
1481,the meddler,73,68%
1482,45 years,97,67%
1483,irrational man,46,46%
1484,the man who knew infinity,62,71%
1485,anomalisa,92,70%
1486,scouts guide to the zombie apocalypse,44,48%
1487,spare parts,,42%
1488,a la mala,43,76%
1489,we are your friends,39,42%
1490,a man called ove,90,87%
1491,maggie's plan,90,87%
1492,green room,38,56%
1493,ladrones,38,56%
1494,the end of the tour,91,82%
1495,rock the kasbah,8,28%
1496,youth,,
1497,yip man 3,,
1498,chi-raq,,
1499,miles ahead,,
1500,captive,,
1501,truth,,
1502,mistress america,81,66%
1503,my all-american,81,66%
1504,jem and the holograms,81,66%
1505,the dressmaker,55,66%
1506,a bigger splash,90,57%
1507,tamasha,55,64%
1508,demolition,,
1509,amsal,,
1510,legend,,
1511,desierto,61,46%
1512,saul fia,61,46%
1513,la passion d'augustine,61,46%
1514,the vatican tapes,19,61%
1515,i saw the light,18,35%
1516,jane got a gun,41,37%
1517,the diary of a teenage girl,94,73%
1518,lao pao er,94,73%
1519,welcome back,94,73%
1520,the cokeville miracle,,70%
1521,le petit prince,,70%
1522,embrace of the serpent,96,84%
1523,lost in hong kong,60,49%
1524,xia luo te fan nao,60,49%
1525,xun long jue,60,49%
1526,beyond the mask,60,49%
1527,child 44,25,41%
1528,beterang,25,41%
1529,miss you already,71,69%
1530,lazer team,56,69%
1531,dough,54,57%
1532,papa hemingway in cuba,12,53%
1533,macbeth,,
1534,the overnight,82,54%
1535,faith of our fathers,,
1536,singh is bliing,57,17%
1537,our times,,
1538,mustang,,
1539,born to be blue,89,74%
1540,sleeping with other people,63,56%
1541,drishyam,,97%
1542,once i was a beehive,75,70%
1543,tangerine,75,70%
1544,himalaya,89,91%
1545,the d train,89,91%
1546,the stanford prison experiment,83,75%
1547,remember,83,75%
1548,the bronze,35,44%
1549,the assassin,35,44%
1550,detective byomkesh bakshy!,35,44%
1551,a tale of love and darkness,69,49%
1552,knight of cups,46,37%
1553,freeheld,,82%
1554,by the sea,,
1555,marguerite,95,74%
1556,bilal: a new breed of hero,95,74%
1557,tang ren jie tan an,95,74%
1558,our little sister,94,82%
1559,shingeki no kyojin,94,82%
1560,zan men jie hun ba,94,82%
1561,bakemono no ko,94,82%
1562,brotherly love,,
1563,under sandet,,
1564,magnificent,,
1565,voiceless,,
1566,freetown,45,70%
1567,que horas ela volta?,96,89%
1568,badlapur,100,63%
1569,katti batti,,21%
1570,aftermath,,21%
1571,high-rise,,21%
1572,talvar,93,89%
1573,carter high,,60%
1574,yeonpyeong haejeon,,60%
1575,taxi,10,43%
1576,david and goliath,10,43%
1577,shingeki no kyojin endo obu za wârudo,10,43%
1578,francofonia,86,46%
1579,mia madre,87,60%
1580,avril et le monde truqué,96,76%
1581,ixcanul,100,75%
1582,the man in 3b,,44%
1583,go away mr. tumor,,44%
1584,der staat gegen fritz bauer,86,76%
1585,trois souvenirs de ma jeunesse,86,76%
1586,brothers,,
1587,dheepan,87,82%
1588,shamitabh,78,38%
1589,the family fang,81,47%
1590,hamari adhuri kahani,81,47%
1591,miss granny,80,87%
1592,the invitation,87,70%
1593,slow west,87,70%
1594,postmortem of love 2,87,70%
1595,miss hokusai,93,70%
1596,chocolate city,,36%
1597,le dernier loup,68,49%
1598,truman,88,75%
1599,ho mann jahaan,,70%
1600,phantom,,70%
1601,a royal night out,74,56%
1602,heneral luna,71,88%
1603,peng ran xing dong,71,88%
1604,maggie,,63%
1605,shi gu,,63%
1606,stonewall,63,67%
1607,el clan,63,67%
1608,detective k: secret of the lost island,63,67%
1609,premam,,87%
1610,viva,60,39%
1611,bølgen,60,39%
1612,yellow day,,73%
1613,the fits,98,55%
1614,zhong kui fu mo: xue yao mo ling,98,55%
1615,ssesibong,98,55%
1616,louder than bombs,,50%
1617,elser,76,61%
1618,after the ball,76,61%
1619,sunset song,80,50%
1620,wo shi zheng ren,80,50%
1621,geomeun sajedeul,80,50%
1622,hell and back,0,33%
1623,experimenter,86,61%
1624,touched with fire,86,61%
1625,manifesto,,
1626,hrútar,,
1627,krisha,,
1628,gekijouban psycho-pass,,
1629,seumool,,
1630,the kind words,78,50%
1631,tumbledown,,81%
1632,e gun tian shi,,81%
1633,zhi zi hua kai,,81%
1634,mississippi grind,90,54%
1635,cop car,80,52%
1636,krigen,80,52%
1637,sweet bean,83,85%
1638,a journey through time with antony,,
1639,digging for fire,64,41%
1640,z for zachariah,79,45%
1641,la loi du marché,79,45%
1642,victor,79,45%
1643,memories of the sword,75,51%
1644,blackhats,75,51%
1645,byuti insaideu,75,51%
1646,bonobos: back to the wild,75,51%
1647,road hard,52,76%
1648,aferim!,52,76%
1649,results,84,36%
1650,demon,,8%
1651,puerto ricans in paris,36,36%
1652,ghost in the shell: the new movie,36,36%
1653,the lure,36,36%
1654,1915,36,36%
1655,miekkailija,36,36%
1656,james white,92,70%
1657,jie jiu wu xian sheng,92,70%
1658,legends from the sky,,67%
1659,le tout nouveau testament,,67%
1660,beasts of no nation,92,92%
1661,tale of tales,82,56%
1662,mountains may depart,82,56%
1663,nasty baby,66,39%
1664,queen of earth,93,59%
1665,tian jiang xiong shi,35,39%
1666,les cowboys,84,70%
1667,ennu ninte moideen,84,70%
1668,3 generations,31,45%
1669,em la ba noi cua anh,31,45%
1670,creative control,61,39%
1671,too late,72,62%
1672,"10,000 saints",72,62%
1673,i smile back,52,43%
1674,microbe et gasoil,52,43%
1675,hatuna meniyar,52,43%
1676,ming zhong zhu ding,52,43%
1677,regression,15,21%
1678,my king,72,77%
1679,l'attesa,72,77%
1680,cemetery of splendor,96,61%
1681,l'ombre des femmes,96,61%
1682,turbo kid,90,77%
1683,fatima,90,77%
1684,journal d'une femme de chambre,90,77%
1685,ma ma,23,43%
1686,girl asleep,82,59%
1687,seong-nan byeon-ho-sa,82,59%
1688,entertainment,82,46%
1689,closet monster,78,72%
1690,deo pon,78,72%
1691,birdboy: the forgotten children,78,72%
1692,lila & eve,78,72%
1693,knock knock,,24%
1694,"kill me, deadly",,24%
1695,la belle saison,91,72%
1696,broken horses,28,44%
1697,eisenstein in guanajuato,60,50%
1698,holy hell,,31%
1699,songs my brothers taught me,91,63%
1700,the forbidden room,91,63%
1701,comoara,91,63%
1702,"en mai, fais ce qu'il te plaît",91,63%
1703,last cab to darwin,91,80%
1704,oneului yeonae,91,80%
1705,equals,91,80%
1706,phantom boy,88,73%
1707,à peine j'ouvre les yeux,88,73%
1708,mænd & høns,88,73%
1709,desde allá,88,73%
1710,mr. x,88,73%
1711,el club,88,73%
1712,the dog wedding,,100%
1713,calla lily,,100%
1714,"rabin, the last day",,100%
1715,valley of love,73,55%
1716,kang rinpoche,93,95%
1717,love & taxes,93,95%
1718,the daughter,93,95%
1719,boi neon,93,95%
1720,front cover,93,95%
1721,chevalier,84,52%
1722,mr. right,84,52%
1723,un monstruo de mil cabezas,84,52%
1724,la tête haute,81,77%
1725,hâmonî,81,77%
1726,anesthesia,26,49%
1727,the grace of jake,80,78%
1728,lolo,,
1729,princess cut,,80%
1730,winning formula,,
1731,slow learners,73,52%
1732,monster hunt,63,48%
1733,cosmos,,83%
1734,band of robbers,,83%
1735,new world order,56,48%
1736,the sea of trees,13,41%
1737,the blackcoat's daughter,13,41%
1738,love me true,,
1739,the challenger,,54%
1740,seoul searching,75,84%
1741,ktown cowboys,33,93%
1742,jasmine,33,93%
1743,gangnam 1970,,50%
1744,men go to battle,69,46%
1745,strangerland,69,46%
1746,tharlo,89,
1747,blackway,20,27%
1748,five nights in maine,28,31%
1749,far too far,,81%
1750,growing up smith,73,81%
1751,10 days in a madhouse,,98%
1752,lamb,,
1753,yosemite,,
1754,the ones below,73,47%
1755,"as mil e uma noites: volume 1, o inquieto",73,47%
1756,maryland,,
1757,being charlie,23,38%
1758,the adderall diaries,19,29%
1759,neither heaven nor earth,95,40%
1760,made in france,,
1761,the hallow,72,43%
1762,how he fell in love,38,58%
1763,chronic,75,57%
1764,tikkun,75,57%
1765,dj stan da man,,
1766,golden kingdom,100,70%
1767,the dark below,,9%
1768,into the forest,78,43%
1769,sunsu-ui sidae,78,43%
1770,southbound,80,51%
1771,"as mil e uma noites: volume 2, o desolado",80,51%
1772,mediterranea,,65%
1773,tanna,91,76%
1774,d'ardennen,91,76%
1775,the girl in the book,92,56%
1776,"sex, death and bowling",92,56%
1777,ashby,55,48%
1778,intersection,10,40%
1779,death valley,10,40%
1780,"as mil e uma noites: volume 3, o encantado",10,40%
1781,synchronicity,,
1782,vergine giurata,75,60%
1783,the automatic hate,67,47%
1784,coming through the rye,71,64%
1785,dan's humongous apartment,71,64%
1786,mi america,50,86%
1787,burning bodhi,,29%
1788,rogue one,84,86%
1789,finding dory,94,84%
1790,captain america: civil war,94,84%
1791,the secret life of pets,73,62%
1792,the jungle book,73,62%
1793,deadpool,84,90%
1794,zootopia,97,92%
1795,batman v superman: dawn of justice,97,92%
1796,suicide squad,,50%
1797,sing,43,90%
1798,moana,82,69%
1799,fantastic beasts and where to find them,74,79%
1800,doctor strange,74,79%
1801,hidden figures,93,93%
1802,jason bourne,54,56%
1803,star trek: beyond,54,56%
1804,x-men: apocalypse,54,56%
1805,trolls,74,68%
1806,la la land,91,81%
1807,kung fu panda 3,86,78%
1808,split,,50%
1809,ghostbusters,97,88%
1810,central intelligence,70,61%
1811,the legend of tarzan,36,59%
1812,sully,85,84%
1813,bad moms,58,63%
1814,angry birds,44,46%
1815,independence day: resurgence,44,46%
1816,the conjuring 2,80,81%
1817,arrival,80,81%
1818,passengers,,
1819,sausage party,82,50%
1820,the magnificent seven,63,72%
1821,ride along 2,13,48%
1822,don't breathe,13,48%
1823,miss peregrine's home for peculiar children,13,48%
1824,the accountant,13,48%
1825,teenage mutant ninja turtles: out of the shadows,13,48%
1826,the purge: election year,13,48%
1827,alice through the looking glass,,50%
1828,pete's dragon,,50%
1829,the girl on the train,,50%
1830,boo! a madea halloween,,50%
1831,storks,65,62%
1832,10 cloverfield lane,90,79%
1833,lights out,,
1834,hacksaw ridge,86,91%
1835,allegiant,86,91%
1836,now you see me 2,35,53%
1837,ice age: collision course,35,53%
1838,the boss,35,53%
1839,london has fallen,26,51%
1840,miracles from heaven,43,81%
1841,deepwater horizon,83,82%
1842,why him?,38,51%
1843,my big fat greek wedding 2,28,53%
1844,jack reacher: never go back,28,53%
1845,fences,28,53%
1846,me before you,57,73%
1847,the bfg,,65%
1848,neighbors 2: sorority rising,,65%
1849,the shallows,78,59%
1850,office christmas party,41,40%
1851,assassin's creed,41,40%
1852,barbershop: the next cut,41,40%
1853,13 hours,,
1854,lion,,
1855,the huntsman: winter's war,,
1856,kubo and the two strings,,
1857,manchester by the sea,96,77%
1858,warcraft,28,77%
1859,how to be single,28,77%
1860,mike and dave need wedding dates,36,51%
1861,the great wall,36,51%
1862,war dogs,,
1863,almost christmas,46,22%
1864,money monster,58,51%
1865,allied,60,64%
1866,nerve,,
1867,risen,,
1868,the nice guys,92,79%
1869,the boy,30,38%
1870,dirty grandpa,12,44%
1871,the 5th wave,12,44%
1872,ouija: origin of evil,12,44%
1873,inferno,12,44%
1874,monster trucks,12,44%
1875,mother's day,12,44%
1876,patriots day,,
1877,gods of egypt,15,37%
1878,collateral beauty,14,64%
1879,underworld: blood wars,14,64%
1880,"hail, caesar!",14,64%
1881,when the bough breaks,14,64%
1882,zoolander 2,22,20%
1883,moonlight,22,20%
1884,the finest hours,64,66%
1885,florence foster jenkins,64,66%
1886,hell or high water,97,88%
1887,resident evil: the final chapter,97,88%
1888,the forest,,
1889,ben-hur,,
1890,leap!,,
1891,bridget jones's baby,,
1892,whiskey tango foxtrot,67,55%
1893,snowden,60,70%
1894,mechanic: resurrection,60,70%
1895,blair witch,36,31%
1896,god's not dead 2,36,31%
1897,free state of jones,46,63%
1898,keanu,46,63%
1899,middle school: the worst years of my life,46,63%
1900,nine lives,46,63%
1901,race,,11%
1902,the choice,11,62%
1903,bad santa 2,23,34%
1904,masterminds,19,49%
1905,norm of the north,9,22%
1906,the birth of a nation,9,22%
1907,the infiltrator,70,71%
1908,keeping up with the joneses,19,37%
1909,criminal,,
1910,the edge of seventeen,95,83%
1911,love & friendship,95,83%
1912,jackie,95,83%
1913,the founder,82,82%
1914,triple 9,53,42%
1915,the light between oceans,61,61%
1916,dangal,92,94%
1917,fifty shades of black,7,19%
1918,no manches frida,13,75%
1919,café society,13,75%
1920,pride and prejudice and zombies,44,45%
1921,the darkness,3,19%
1922,nocturnal animals,73,73%
1923,live by night,35,42%
1924,the belko experiment,54,40%
1925,the perfect match,,
1926,rock dog,45,46%
1927,popstar: never stop never stopping,45,46%
1928,meet the blacks,11,73%
1929,queen of katwe,11,73%
1930,adam green's aladdin,11,73%
1931,the lost city of z,86,57%
1932,ratchet & clank,86,57%
1933,a cure for wellness,43,41%
1934,the wild life,16,28%
1935,loving,,
1936,gold,,
1937,silence,,
1938,birth of the dragon,25,69%
1939,shut in,10,22%
1940,the brothers grimsby,38,41%
1941,the young messiah,46,65%
1942,southside with you,91,72%
1943,sultan,,81%
1944,maudie,89,89%
1945,lowriders,89,89%
1946,captain fantastic,82,85%
1947,20th century women,89,74%
1948,paris can wait,45,39%
1949,hunt for the wilderpeople,96,91%
1950,your name.,96,91%
1951,bleed for this,70,69%
1952,incarnate,70,69%
1953,absolutely fabulous: the movie,70,69%
1954,hands of stone,44,52%
1955,don't think twice,44,52%
1956,ae dil hai mushkil,54,43%
1957,swiss army man,70,72%
1958,a hologram for the king,73,55%
1959,denial,,
1960,morgan,69,79%
1961,a united kingdom,83,77%
1962,sleight,76,53%
1963,max steel,0,48%
1964,norman,67,58%
1965,batman: the killing joke,67,58%
1966,friend request,16,29%
1967,a monster calls,86,81%
1968,midnight special,86,81%
1969,rules don't apply,86,81%
1970,their finest,90,72%
1971,miss sloane,76,71%
1972,forushande,76,71%
1973,indignation,82,74%
1974,everybody wants some!!,82,74%
1975,sing street,95,92%
1976,mei ren yu,94,60%
1977,our kind of traitor,94,60%
1978,compadres,,
1979,colossal,80,59%
1980,the other side of the door,37,29%
1981,anthropoid,66,70%
1982,lbj,57,56%
1983,the disappointments room,0,17%
1984,kapoor & sons,0,17%
1985,collide,0,17%
1986,the resurrection of gavin stone,45,84%
1987,a aa,,40%
1988,un padre no tan padre,75,86%
1989,paterson,96,71%
1990,busanhaeng,96,71%
1991,i'm not ashamed,96,71%
1992,ah-ga-ssi,96,71%
1993,greater,67,85%
1994,shin godzilla,67,85%
1995,a quiet passion,91,49%
1996,free fire,69,53%
1997,m.s. dhoni: the untold story,69,53%
1998,busco novio para mi mujer,78,68%
1999,billy lynn's long halftime walk,78,68%
2000,the comedian,78,68%
2001,equity,82,52%
2002,oopiri,,75%
2003,a boy called po,31,78%
2004,neerja,100,83%
2005,priceless,81,74%
2006,julieta,81,74%
2007,toni erdmann,93,73%
2008,the wedding plan,86,66%
2009,dear zindagi,90,73%
2010,dead awake,,38%
2011,genius,,60%
2012,fan,,60%
2013,the neon demon,57,51%
2014,personal shopper,80,52%
2015,mohenjo daro,38,44%
2016,the women's balcony,38,44%
2017,housefull 3,29,51%
2018,lady macbeth,89,71%
2019,rustom,40,54%
2020,the innocents,,100%
2021,certain women,,
2022,elvis & nixon,,
2023,battle for incheon: operation chromite,,
2024,the hollars,45,59%
