,Name,Genre,Rating,Votes,BoxOffice,Year
78,Lawless,"Crime, Drama",7.3,209673,"37,400,127",2012
79,The Guilt Trip,"Comedy, Drama",5.8,33237,"37,134,215",2012
80,That's My Boy,Comedy,5.6,80500,"36,931,089",2012
81,Trouble with the Curve,"Drama, Sport",6.8,54560,"35,763,137",2012
82,The Watch,"Action, Comedy, Horror",5.7,113998,"35,353,000",2012
83,Frankenweenie,"Animation, Comedy, Family",7,86714,"35,291,068",2012
84,Step Up Revolution,"Drama, Music, Romance",6.5,50384,"35,074,677",2012
85,Good Deeds,"Comedy, Drama, Romance",5.5,6922,"35,025,791",2012
86,House at the End of the Street,"Drama, Horror, Thriller",5.6,65161,"31,611,916",2012
87,The Pirates! Band of Misfits,"Animation, Adventure, Comedy",6.7,40925,"31,051,126",2012
88,Joyful Noise,"Comedy, Drama, Music",5.8,7412,"30,920,167",2012
89,The Five-Year Engagement,"Comedy, Romance",6.2,86366,"28,835,528",2012
90,Cloud Atlas,"Action, Drama, Mystery",7.5,320156,"27,108,272",2012
91,One for the Money,"Action, Comedy, Crime",5.3,37833,"26,414,527",2012
92,Alex Cross,"Action, Crime, Mystery",5.1,30530,"25,888,412",2012
93,Sparkle,"Drama, Music",5.7,5551,"24,397,469",2012
94,Mud,Drama,7.4,153378,"21,590,086",2012
95,The Place Beyond the Pines,"Crime, Drama, Thriller",7.3,220441,"21,383,298",2012
96,Premium Rush,"Action, Crime, Thriller",6.5,103940,"20,275,446",2012
97,Big Miracle,"Biography, Drama, Family",6.5,17137,"20,113,965",2012
98,The Impossible,"Drama, History, Thriller",7.6,171905,"19,019,882",2012
99,Man on a Ledge,"Action, Adventure, Crime",6.6,135641,"18,620,000",2012
100,A Thousand Words,"Comedy, Drama",5.9,35329,"18,438,149",2012
101,Quartet,"Comedy, Drama",6.8,17505,"18,390,117",2012
102,Chernobyl Diaries,"Horror, Mystery, Thriller",5,58554,"18,119,640",2012
103,The Perks of Being a Wallflower,"Drama, Romance",8,412159,"17,738,570",2012
104,Silent Hill: Revelation,Horror,5,55684,"17,529,157",2012
105,Wanderlust,"Comedy, Romance",5.6,67956,"17,225,675",2012
106,Safe,"Action, Crime, Thriller",6.5,94154,"17,142,080",2012
107,To Rome with Love,"Comedy, Music, Romance",6.3,77921,"16,685,867",2012
108,The Master,Drama,7.1,126437,"16,377,274",2012
109,The Raven,"Crime, Mystery, Thriller",6.4,78706,"16,008,272",2012
110,The Man with the Iron Fists,Action,5.4,57565,"15,634,090",2012
111,Killing Them Softly,"Crime, Thriller",6.2,122333,"15,026,056",2012
112,Seven Psychopaths,"Comedy, Crime",7.2,217466,"15,024,049",2012
113,Lockout,"Action, Adventure, Sci-Fi",6.1,88410,"14,326,864",2012
114,Spring Breakers,"Comedy, Crime, Drama",5.3,123139,"14,123,773",2012
115,Hit and Run,"Action, Comedy, Romance",6.1,31984,"13,746,550",2012
116,Dredd,"Action, Crime, Sci-Fi",7.1,229885,"13,414,714",2012
117,Playing for Keeps,"Comedy, Romance, Sport",5.7,26914,"13,101,142",2012
118,Anna Karenina,"Drama, Romance",6.6,82593,"12,816,367",2012
119,Beasts of the Southern Wild,"Adventure, Drama, Fantasy",7.3,76419,"12,795,746",2012
120,Cirque du Soleil: Worlds Away,Fantasy,6.8,7546,"12,495,865",2012
121,People Like Us,"Comedy, Drama",7.1,38912,"12,412,386",2012
122,Gone,"Action, Adventure, Drama",5.9,38681,"11,653,123",2012
123,The Words,"Drama, Mystery, Romance",7.1,68622,"11,494,838",2012
124,Bullet to the Head,"Action, Crime, Thriller",5.7,43889,"9,483,821",2012
125,Fun Size,"Adventure, Comedy",5.4,12685,"9,402,410",2012
126,Arbitrage,"Drama, Thriller",6.6,46023,"7,918,283",2012
127,Promised Land,Drama,6.6,33972,"7,597,898",2012
128,Disconnect,"Drama, Thriller",7.5,68932,"7,435,950",2012
129,The Collection,"Horror, Thriller",6.1,41211,"6,842,058",2012
130,Amour,"Drama, Romance",7.9,82650,"6,739,492",2012
131,Seeking a Friend for the End of the World,"Adventure, Comedy, Drama",6.7,100275,"6,619,173",2012
132,Hyde Park on Hudson,"Biography, Comedy, Drama",5.9,10455,"6,367,780",2012
133,Hitchcock,"Biography, Drama",6.8,67058,"6,008,677",2012
134,Chasing Mavericks,"Biography, Drama, Sport",7.2,28498,"6,002,756",2012
135,The Sessions,"Biography, Comedy, Drama",7.2,39325,"6,002,451",2012
136,Casa de mi Padre,"Comedy, Western",5.5,18877,"5,895,238",2012
137,For Greater Glory: The True Story of Cristiada,"Drama, History, War",6.6,4087,"5,669,081",2012
138,Won't Back Down,Drama,6.5,5791,"5,308,553",2012
139,The Company You Keep,"Drama, Thriller",6.4,29105,"5,132,442",2012
140,The Apparition,"Horror, Thriller",4.1,17879,"4,930,798",2012
141,Much Ado About Nothing,"Comedy, Drama, Romance",7.2,15187,"4,327,763",2012
142,Frances Ha,"Comedy, Drama, Romance",7.4,57683,"4,063,238",2012
143,Safety Not Guaranteed,"Comedy, Drama, Romance",7,110256,"4,010,957",2012
144,The Cold Light of Day,"Action, Thriller",4.9,32463,"3,749,061",2012
145,Emperor,"Drama, History, War",6.5,11980,"3,345,315",2012
146,Atlas Shrugged II: The Strike,"Drama, Mystery, Sci-Fi",5.4,6168,"3,333,823",2012
147,Robot & Frank,"Comedy, Crime, Drama",7.1,58231,"3,325,638",2012
148,Last Ounce of Courage,"Drama, War",4,1857,"3,310,439",2012
149,Stand Up Guys,"Comedy, Crime, Thriller",6.5,49786,"3,301,046",2012
150,Celeste & Jesse Forever,"Comedy, Drama, Romance",6.6,27123,"3,094,687",2012
151,Jab Tak Hai Jaan,"Drama, Family, Romance",6.8,47463,"3,047,539",2012
152,Filly Brown,"Drama, Music",5.7,985,"2,833,383",2012
153,Barfi!,"Comedy, Drama, Romance",8.1,66659,"2,804,874",2012
154,Talaash,"Crime, Drama, Mystery",7.3,35170,"2,706,375",2012
155,Girl in Progress,"Comedy, Drama",5.6,6063,"2,594,878",2012
156,Ruby Sparks,"Comedy, Drama, Fantasy",7.2,89438,"2,540,106",2012
157,Dabangg 2,"Action, Comedy",4.9,13068,"2,519,190",2012
158,The Sapphires,"Biography, Comedy, Drama",7.1,11786,"2,448,455",2012
159,Ek Tha Tiger,"Action, Romance, Thriller",5.5,25540,"2,347,774",2012
160,No,Drama,7.4,21072,"2,343,664",2012
161,Renoir,"Biography, Drama, History",6.6,4631,"2,291,047",2012
162,Sleepwalk with Me,Comedy,6.8,11032,"2,263,436",2012
163,Rust and Bone,"Drama, Romance",7.5,57468,"2,061,449",2012
164,Agneepath,"Action, Drama",7,19897,"1,981,605",2012
165,The Iceman,"Biography, Crime, Drama",6.9,63907,"1,939,441",2012
166,Crooked Arrows,"Drama, Sport",6,1715,"1,830,475",2012
167,Lemale et ha'halal,"Drama, Romance",6.7,3386,"1,774,639",2012
168,The Attack,"Drama, Mystery",7.1,3626,"1,714,710",2012
169,Unfinished Song,"Comedy, Drama, Music",7,6566,"1,697,294",2012
170,English Vinglish,"Comedy, Drama, Family",7.9,29193,"1,670,773",2012
171,Den skaldede frisør,"Comedy, Drama, Romance",6.5,11848,"1,631,306",2012
172,A Late Quartet,"Drama, Music",7.1,12713,"1,561,577",2012
173,A Royal Affair,"Biography, Drama, History",7.6,39982,"1,546,761",2012
174,Kon-Tiki,"Adventure, History",7.2,40634,"1,517,410",2012
175,Housefull 2,"Action, Comedy, Musical",5.4,11349,"1,503,059",2012
176,Girl Most Likely,Comedy,5.8,13671,"1,378,426",2012
177,Wadjda,"Comedy, Drama",7.6,16083,"1,347,578",2012
178,"For a Good Time, Call...",Comedy,6,14801,"1,243,961",2012
179,Bol Bachchan,"Action, Comedy, Drama",5.5,7049,"1,216,258",2012
180,The Lords of Salem,"Horror, Thriller",5.1,24411,"1,163,508",2012
181,The Other Son,Drama,7.4,3072,"1,160,773",2012
182,Still Mine,Drama,7.4,3572,"1,154,466",2012
183,Ek Main Aur Ekk Tu,"Comedy, Drama, Romance",5.8,5865,"1,153,360",2012
184,Woman Thou Art Loosed: On the 7th Day,Drama,5,563,"1,082,299",2012
185,What Maisie Knew,Drama,7.5,24837,"1,065,000",2012
186,The Oogieloves in the Big Balloon Adventure,"Adventure, Family, Fantasy",6,14692,"1,064,277",2012
187,Thanks for Sharing,"Comedy, Drama, Romance",6.4,24021,"1,059,239",2012
188,Kahaani,"Mystery, Thriller",8.2,50010,"1,035,953",2012
189,Cocktail,"Comedy, Drama, Romance",6.2,11882,"1,027,121",2012
190,Unconditional,"Biography, Crime, Drama",7.2,4356,"1,005,800",2012
191,Ginger & Rosa,Drama,6.3,9374,"1,005,700",2012
192,Lore,"Drama, History, Romance",7.1,13112,"968,879",2012
193,OMG: Oh My God!,"Comedy, Drama, Fantasy",8.2,41663,"923,221",2012
194,Gwanghae: Wangyidoen namja,Drama,7.8,4931,"922,921",2012
195,Deep in the Heart,Drama,5.7,196,"819,000",2012
196,Darling Companion,"Comedy, Drama, Romance",5.1,2998,"793,352",2012
197,Rowdy Rathore,Action,5.8,18421,"775,981",2012
198,Cosmopolis,"Drama, Fantasy",5,41123,"743,636",2012
199,On the Road,"Adventure, Drama, Romance",6.1,37263,"717,753",2012
200,Hannah Arendt,"Biography, Drama",7.1,9092,"714,442",2012
