,Name,Genre,Rating,Votes,BoxOffice,Year
374,If I Were You,"Comedy, Drama",7,1751,"9,222",2012
375,Inch'Allah,Drama,6.9,2288,"9,155",2012
376,[REC] 3: Genesis,"Horror, Thriller",5,29936,"8,973",2012
377,Elefante blanco,Drama,6.5,4282,"8,863",2012
378,General Education,Comedy,4.5,710,"8,601",2012
379,The End of Love,Drama,6,1562,"8,326",2012
380,Dracula 3D,"Horror, Romance, Thriller",3.6,3553,"8,139",2012
381,For Ellen,Drama,6,1709,"7,282",2012
382,Arjun: The Warrior Prince,"Animation, Action, Adventure",6.9,1218,"7,075",2012
383,Les infidèles,Comedy,5.3,7208,"6,674",2012
384,The Brass Teapot,"Comedy, Fantasy, Thriller",6.4,13464,"6,643",2012
385,Breakfast with Curtis,Drama,6.8,225,"6,629",2012
386,Grassroots,"Comedy, Drama",5.3,992,"6,497",2012
387,100 Bloody Acres,"Comedy, Horror",6,3307,"6,248",2012
388,Price Check,"Comedy, Drama",5.4,2055,"6,240",2012
389,Girls Against Boys,"Drama, Horror, Thriller",4.8,3102,"6,111",2012
390,Crazy Eyes,Comedy,4,489,"6,106",2012
391,Paradies: Glaube,Drama,6.8,3681,"5,959",2012
392,De l'autre côté du périph,"Action, Comedy, Crime",5.8,4219,"5,923",2012
393,A Dark Truth,"Action, Thriller",5.6,5456,"5,750",2012
394,Universal Soldier: Day of Reckoning,"Action, Horror, Mystery",5,17856,"5,460",2012
395,The Giant Mechanical Man,"Comedy, Drama, Romance",6.7,8777,"5,360",2012
396,Xue di zi,"Action, Drama",4.8,1192,"5,290",2012
397,The Babymakers,Comedy,5,8028,"5,215",2012
398,A Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman,"Animation, Comedy",5.9,1455,"5,102",2012
399,Desperate Endeavors,"Comedy, Drama",7.2,40,"4,869",2012
400,The Hunger Games: Catching Fire,"Action, Adventure, Mystery",7.5,561936,"424,668,047",2013
401,Iron Man 3,"Action, Adventure, Sci-Fi",7.2,656992,"409,013,994",2013
402,Frozen,"Animation, Adventure, Comedy",7.5,498305,"400,738,009",2013
403,Despicable Me 2,"Animation, Adventure, Comedy",7.4,333363,"368,061,265",2013
404,Man of Steel,"Action, Adventure, Fantasy",7.1,627769,"291,045,518",2013
405,Gravity,"Drama, Sci-Fi, Thriller",7.7,683770,"274,092,705",2013
406,Monsters University,"Animation, Adventure, Comedy",7.3,281076,"268,492,764",2013
407,The Hobbit: The Desolation of Smaug,"Adventure, Fantasy",7.8,552360,"258,366,855",2013
408,Furious 6,"Action, Crime, Thriller",7.1,339361,"238,679,850",2013
409,Oz the Great and Powerful,"Adventure, Family, Fantasy",6.3,189536,"234,911,825",2013
410,Star Trek: Into Darkness,"Action, Adventure, Sci-Fi",7.7,439154,"228,778,661",2013
411,Thor: The Dark World,"Action, Adventure, Fantasy",7,508473,"206,362,140",2013
412,World War Z,"Action, Adventure, Horror",7,537607,"202,359,711",2013
413,The Croods,"Animation, Action, Adventure",7.2,172600,"187,168,425",2013
414,The Heat,"Action, Comedy, Crime",6.6,150103,"159,582,188",2013
415,We're the Millers,"Comedy, Crime",7,361998,"150,394,119",2013
416,American Hustle,"Crime, Drama",7.3,407782,"150,117,807",2013
417,The Great Gatsby,"Drama, Romance",7.3,420077,"144,840,419",2013
418,The Conjuring,"Horror, Mystery, Thriller",7.5,378457,"137,400,141",2013
419,Identity Thief,"Adventure, Comedy, Crime",5.7,111421,"134,506,920",2013
420,Grown Ups 2,Comedy,5.4,124861,"133,668,525",2013
421,The Wolverine,"Action, Adventure, Sci-Fi",6.7,388090,"132,556,852",2013
422,Anchorman 2: The Legend Continues,Comedy,6.3,151472,"127,352,707",2013
423,Lone Survivor,"Action, Biography, Drama",7.5,239985,"125,095,601",2013
424,G.I. Joe: Retaliation,"Action, Adventure, Sci-Fi",5.8,163038,"122,523,060",2013
425,Cloudy with a Chance of Meatballs 2,"Animation, Action, Adventure",6.4,77899,"119,793,567",2013
426,Now You See Me,"Crime, Mystery, Thriller",7.3,536921,"117,723,989",2013
427,The Wolf of Wall Street,"Biography, Comedy, Crime",8.2,989239,"116,900,694",2013
428,The Butler,"Biography, Drama",7.2,100297,"116,632,095",2013
429,The Hangover Part III,"Adventure, Comedy, Crime",5.8,261809,"112,200,072",2013
430,Epic,"Animation, Adventure, Family",6.7,93763,"107,518,682",2013
431,Captain Phillips,"Biography, Drama, Thriller",7.8,377069,"107,100,855",2013
432,Bad Grandpa,Comedy,6.5,84519,"102,003,019",2013
433,Pacific Rim,"Action, Adventure, Sci-Fi",6.9,434689,"101,802,906",2013
434,This Is the End,"Comedy, Fantasy",6.6,352176,"101,470,202",2013
435,Olympus Has Fallen,"Action, Thriller",6.5,229965,"98,925,640",2013
436,42,"Biography, Drama, Sport",7.5,75666,"95,001,343",2013
437,Elysium,"Action, Drama, Sci-Fi",6.6,385833,"93,050,117",2013
438,Planes,"Animation, Adventure, Comedy",5.7,39065,"90,288,712",2013
439,The Lone Ranger,"Action, Adventure, Western",6.4,204385,"89,302,115",2013
440,Oblivion,"Action, Adventure, Mystery",7,441620,"89,021,735",2013
441,Insidious: Chapter 2,"Horror, Mystery, Thriller",6.6,135922,"83,586,447",2013
442,Saving Mr. Banks,"Biography, Comedy, Drama",7.5,134902,"83,301,580",2013
443,Turbo,"Animation, Adventure, Comedy",6.4,72050,"83,028,128",2013
444,2 Guns,"Action, Comedy, Crime",6.7,177694,"75,612,460",2013
445,White House Down,"Action, Drama, Thriller",6.4,187041,"73,103,784",2013
446,Mama,"Horror, Thriller",6.2,155401,"71,628,180",2013
447,Safe Haven,"Drama, Romance, Thriller",6.7,93746,"71,349,120",2013
448,The Smurfs 2,"Animation, Adventure, Comedy",5.4,33110,"71,017,784",2013
449,The Best Man Holiday,"Comedy, Drama",6.7,13614,"70,525,195",2013
450,Percy Jackson: Sea of Monsters,"Adventure, Family, Fantasy",5.8,99754,"68,559,554",2013
451,A Good Day to Die Hard,"Action, Thriller",5.3,184139,"67,349,198",2013
452,Warm Bodies,"Comedy, Horror, Romance",6.9,205150,"66,380,662",2013
453,Jack the Giant Slayer,"Adventure, Fantasy",6.3,120029,"65,187,603",2013
454,The Purge,"Horror, Thriller",5.7,176740,"64,473,115",2013
455,Last Vegas,"Comedy, Drama",6.6,119232,"63,914,167",2013
456,Ender's Game,"Action, Adventure, Fantasy",6.6,206837,"61,737,191",2013
457,Prisoners,"Crime, Drama, Mystery",8.1,504493,"61,002,302",2013
458,After Earth,"Action, Adventure, Sci-Fi",4.8,177700,"60,522,097",2013
459,The Secret Life of Walter Mitty,"Adventure, Comedy, Drama",7.3,269474,"58,236,838",2013
460,Escape from Planet Earth,"Animation, Adventure, Comedy",5.9,22828,"57,012,977",2013
461,12 Years a Slave,"Biography, Drama, History",8.1,556392,"56,671,993",2013
462,Free Birds,"Animation, Adventure, Comedy",5.9,20470,"55,750,480",2013
463,Hansel & Gretel: Witch Hunters,"Action, Fantasy, Horror",6.1,179012,"55,703,475",2013
464,Evil Dead,"Fantasy, Horror, Thriller",6.5,143439,"54,239,856",2013
465,RED 2,"Action, Comedy, Crime",6.6,144794,"53,262,560",2013
466,A Madea Christmas,"Comedy, Drama, Romance",4.9,5237,"52,440,051",2013
467,Temptation: Confessions of a Marriage Counselor,"Drama, Thriller",5,10843,"51,975,354",2013
468,The Call,"Crime, Horror, Thriller",6.7,101395,"51,872,378",2013
469,Pain & Gain,"Action, Comedy, Crime",6.4,182653,"49,875,291",2013
470,Gangster Squad,"Action, Crime, Drama",6.7,192032,"46,000,903",2013
471,The Internship,Comedy,6.3,176384,"44,672,764",2013
472,Instructions Not Included,"Comedy, Drama",7.6,26146,"44,467,206",2013
473,Snitch,"Action, Drama, Thriller",6.5,75306,"42,930,462",2013
474,Riddick,"Action, Sci-Fi, Thriller",6.4,141596,"42,025,135",2013
475,A Haunted House,"Comedy, Fantasy",5.1,39339,"40,041,683",2013
476,47 Ronin,"Action, Adventure, Drama",6.3,132282,"38,362,475",2013
477,August: Osage County,Drama,7.2,77729,"37,738,503",2013
478,Philomena,"Biography, Drama",7.6,86850,"37,707,719",2013
479,The Family,"Comedy, Crime, Thriller",6.3,100353,"36,918,811",2013
480,Walking with Dinosaurs 3D,"Animation, Adventure, Family",5.2,9918,"36,076,121",2013
481,Carrie,"Drama, Horror",5.9,122488,"35,266,619",2013
482,Texas Chainsaw 3D,"Horror, Thriller",4.8,40711,"34,341,945",2013
483,R.I.P.D.,"Action, Adventure, Comedy",5.6,106186,"33,618,855",2013
484,Blue Jasmine,Drama,7.3,175288,"33,405,481",2013
485,Side Effects,"Crime, Drama, Mystery",7.1,165340,"32,172,757",2013
486,Scary Movie 5,Comedy,3.5,58255,"32,015,787",2013
487,The Mortal Instruments: City of Bones,"Action, Fantasy, Horror",5.9,119405,"31,165,421",2013
488,Delivery Man,"Comedy, Drama",6.4,69121,"30,664,106",2013
489,Grudge Match,"Comedy, Drama, Sport",6.4,52770,"29,807,260",2013
490,Kick-Ass 2,"Action, Comedy, Crime",6.6,232000,"28,795,985",2013
491,Oculus,"Horror, Mystery",6.5,103871,"27,695,246",2013
492,Dallas Buyers Club,"Biography, Drama",8,389936,"27,298,285",2013
493,Rush,"Action, Biography, Drama",8.1,380946,"26,947,624",2013
494,The Host,"Action, Adventure, Drama",5.9,103529,"26,627,201",2013
495,The World's End,"Action, Comedy, Sci-Fi",7,225113,"26,004,851",2013
496,21 & Over,Comedy,5.9,67358,"25,682,380",2013
497,Her,"Drama, Romance, Sci-Fi",8,446224,"25,568,251",2013
498,Escape Plan,"Action, Crime, Mystery",6.7,206163,"25,132,228",2013
499,Don Jon,"Comedy, Drama, Romance",6.6,212248,"24,477,704",2013
500,The Incredible Burt Wonderstone,"Adventure, Comedy, Fantasy",5.9,66264,"22,525,921",2013
501,The Big Wedding,"Comedy, Drama, Romance",5.6,43300,"21,784,432",2013
502,Baggage Claim,Comedy,5.1,8110,"21,564,616",2013
503,The Way Way Back,"Comedy, Drama",7.4,130313,"21,501,098",2013
504,The Book Thief,"Drama, War",7.6,116168,"21,488,481",2013
505,Homefront,"Action, Crime, Drama",6.5,96122,"20,158,492",2013
506,Broken City,"Crime, Drama, Thriller",6.2,70521,"19,701,164",2013
507,Beautiful Creatures,"Drama, Fantasy, Romance",6.2,78218,"19,452,138",2013
508,Runner Runner,"Crime, Thriller",5.6,57298,"19,316,646",2013
509,Admission,"Comedy, Drama, Romance",5.7,31361,"18,004,225",2013
510,Nebraska,"Adventure, Comedy, Drama",7.7,103244,"17,654,912",2013
511,Parker,"Action, Crime, Romance",6.2,103001,"17,616,641",2013
512,Enough Said,"Comedy, Drama, Romance",7,54771,"17,536,788",2013
513,Dark Skies,"Horror, Sci-Fi, Thriller",6.3,64761,"17,411,930",2013
514,The Counselor,"Crime, Drama, Thriller",5.3,90432,"16,973,715",2013
515,Begin Again,"Comedy, Drama, Music",7.4,126054,"16,170,632",2013
516,Jobs,"Biography, Drama",5.9,87110,"16,117,443",2013
517,Fruitvale Station,"Biography, Drama, Romance",7.5,66313,"16,097,842",2013
518,About Time,"Comedy, Drama, Fantasy",7.8,249981,"15,322,921",2013
519,The Last Exorcism Part II,"Drama, Horror, Thriller",4,14844,"15,179,302",2013
520,Labor Day,"Drama, Romance",6.9,37875,"13,362,308",2013
521,Inside Llewyn Davis,"Drama, Music",7.5,119370,"13,235,319",2013
522,Singam 2,"Action, Thriller",6.3,4860,"12,331,200",2013
523,The Last Stand,"Action, Thriller",6.4,124640,"12,050,299",2013
524,Out of the Furnace,"Crime, Drama, Thriller",6.8,96727,"11,326,836",2013
525,Dead Man Down,"Action, Crime, Drama",6.5,60241,"10,880,926",2013
526,Belle,"Biography, Drama, Romance",7.4,24918,"10,726,630",2013
527,Getaway,"Action, Crime, Thriller",4.4,21739,"10,494,494",2013
528,Peeples,"Comedy, Romance",5.3,4375,"9,123,834",2013
529,Battle of the Year,"Drama, Music",5.1,8646,"8,888,355",2013
530,Movie 43,Comedy,4.3,90214,"8,828,771",2013
531,Legends of Oz: Dorothy's Return,"Animation, Adventure, Family",5.5,5301,"8,462,027",2013
532,Mandela: Long Walk to Freedom,"Biography, Drama, History",7.1,24502,"8,323,085",2013
533,Before Midnight,"Drama, Romance",7.9,118576,"8,114,627",2013
534,Dhoom 3,"Action, Thriller",5.4,39408,"8,031,955",2013
535,Machete Kills,"Action, Crime, Sci-Fi",5.6,68048,"8,008,161",2013
536,Bad Words,"Comedy, Drama",6.7,43225,"7,764,027",2013
537,Paranoia,"Drama, Thriller",5.7,32527,"7,376,027",2013
538,The Green Inferno,"Adventure, Horror, Thriller",5.3,31609,"7,192,291",2013
539,Black Nativity,"Drama, Family, Music",4.5,1855,"7,017,178",2013
540,The Spectacular Now,"Comedy, Drama, Romance",7.1,129601,"6,851,969",2013
541,The Grandmaster,"Action, Biography, Drama",6.6,28078,"6,594,959",2013
542,All Is Lost,"Action, Adventure, Drama",6.9,68942,"6,263,670",2013
543,The Bling Ring,"Biography, Crime, Drama",5.6,76289,"5,841,046",2013
544,Pulling Strings,"Comedy, Romance",6,1629,"5,823,487",2013
545,Closed Circuit,"Crime, Drama, Mystery",6.2,20015,"5,733,310",2013
546,Chennai Express,"Action, Comedy",6,43235,"5,306,729",2013
547,Kaze tachinu,"Animation, Biography, Drama",7.8,58252,"5,209,580",2013
548,Snowpiercer,"Action, Drama, Sci-Fi",7.1,227298,"4,563,650",2013
549,The Railway Man,"Biography, Drama, Romance",7.1,33747,"4,438,438",2013
550,The Lunchbox,"Drama, Romance",7.8,41052,"4,231,500",2013
551,Yeh Jawaani Hai Deewani,"Comedy, Drama, Musical",7,32532,"3,827,466",2013
552,Ida,Drama,7.4,44133,"3,827,060",2013
553,Fading Gigolo,Comedy,6.2,22087,"3,763,973",2013
554,What If,"Comedy, Romance",6.8,62946,"3,452,117",2013
555,The To Do List,"Comedy, Romance",5.8,33827,"3,447,339",2013
556,Metallica Through the Never,Music,7.2,15142,"3,419,967",2013
557,The Grand Seduction,Comedy,7,13973,"3,408,966",2013
558,The Fifth Estate,"Biography, Drama, Thriller",6.2,35260,"3,254,172",2013
559,In a World...,Comedy,6.7,28897,"2,962,542",2013
560,Home Run,"Drama, Sport",6,2678,"2,859,955",2013
561,The Great Beauty,Drama,7.8,69707,"2,852,400",2013
562,Goliyon Ki Rasleela Ram-Leela,"Drama, Musical, Romance",6.4,16018,"2,674,134",2013
563,Under the Skin,"Drama, Horror, Sci-Fi",6.3,108811,"2,605,039",2013
564,Dragon Ball Z: Doragon bôru Z - Kami to Kami,"Animation, Action, Comedy",7.2,22820,"2,553,002",2013
565,Grace Unplugged,"Drama, Music",6.2,2913,"2,507,106",2013
566,I'm in Love with a Church Girl,"Crime, Drama, Romance",4.6,1453,"2,380,405",2013
567,Trance,"Crime, Drama, Mystery",6.9,103164,"2,319,187",2013
568,The East,"Adventure, Drama, Thriller",6.8,46051,"2,268,296",2013
569,Le Week-End,"Comedy, Drama, Romance",6.3,7117,"2,223,380",2013
570,The Christmas Candle,"Drama, Family",6.2,1402,"2,209,479",2013
571,Blue Is the Warmest Color,"Drama, Romance",7.8,119419,"2,199,675",2013
572,Oldboy,"Action, Drama, Mystery",5.8,60822,"2,193,658",2013
573,Krrish 3,"Action, Adventure, Sci-Fi",5.3,18376,"2,191,343",2013
574,Words and Pictures,"Comedy, Drama, Romance",6.6,8948,"2,166,206",2013
575,Austenland,"Comedy, Romance",6.3,17416,"2,151,202",2013
576,The Oscar Nominated Short Films 2013: Live Action,Drama,7.1,203,"2,142,342",2013
577,The Saratov Approach,"Action, Drama, Thriller",5.6,1915,"2,137,705",2013
578,Gloria,"Comedy, Drama, Romance",6.7,7249,"2,106,556",2013
579,The Immigrant,"Drama, Romance",6.6,25829,"2,013,456",2013
580,Only Lovers Left Alive,"Comedy, Drama, Fantasy",7.3,78022,"1,879,534",2013
581,Stoker,"Drama, Thriller",6.8,95609,"1,702,277",2013
582,Bhaag Milkha Bhaag,"Biography, Drama, Sport",8.2,52576,"1,626,289",2013
583,Race 2,"Action, Crime, Thriller",5.3,13677,"1,578,996",2013
584,"Bless Me, Ultima","Drama, War",6.4,1190,"1,553,826",2013
585,The Tale of the Princess Kaguya,"Animation, Adventure, Drama",8.1,27521,"1,506,975",2013
586,Out of Order,Drama,8.3,53117,"1,500,000",2013
587,Queen,"Comedy, Drama",5.6,19785,"1,429,534",2013
588,I'm So Excited!,Comedy,7.1,116114,"1,367,846",2013
589,Locke,Drama,6.5,7557,"1,361,423",2013
590,Gimme Shelter,Drama,7.8,39852,"1,359,563",2013
591,Le passé,"Drama, Mystery",5.9,991,"1,330,596",2013
592,The Ultimate Life,"Drama, Romance",7.2,71745,"1,326,059",2013
593,The Kings of Summer,"Adventure, Comedy, Drama",6.2,8423,"1,290,312",2013
594,The Invisible Woman,"Biography, Drama, History",4.8,2053,"1,234,254",2013
595,Repentance,"Drama, Horror, Thriller",5.8,9897,"1,179,327",2013
596,Romeo & Juliet,"Drama, Romance",7.6,23612,"1,161,089",2013
597,Kai po che!,"Drama, Sport",7.1,34246,"1,122,527",2013
598,The 100 Year-Old Man Who Climbed Out the Window and Disappeared,"Adventure, Comedy",8,43305,"1,083,762",2013
599,Special 26,"Crime, Thriller",6.5,31699,"1,079,369",2013
600,Kill Your Darlings,"Biography, Drama, Romance",6.4,24334,"1,029,949",2013
601,Third Person,"Drama, Romance",5.6,14259,"1,019,038",2013
602,Stalingrad,"Action, Drama, War",8,70042,"1,013,945",2013
603,Short Term 12,Drama,6.9,136273,"1,010,414",2013
604,Enemy,"Mystery, Thriller",7.6,25897,"1,007,088",2013
605,Raanjhanaa,"Drama, Romance",6.9,102383,"875,051",2013
606,Nymphomaniac: Vol. I,Drama,5.7,97990,"785,669",2013
607,Only God Forgives,"Crime, Drama",6.2,24745,"778,565",2013
608,Palo Alto,Drama,6,4455,"750,100",2013
609,Satyagraha,Drama,4.4,637,"738,525",2013
610,Alone Yet Not Alone,"Action, Drama, History",6.6,5692,"668,172",2013
611,Bereullin,"Action, Thriller",6.4,13683,"665,210",2013
612,Parkland,"Drama, History, Mystery",6.6,7844,"653,651",2013
613,House of Good and Evil,"Horror, Thriller",7.7,3848,"560,000",2013
614,The Attorney,Drama,4.8,1474,"557,236",2013
615,The Lost Medallion: The Adventures of Billy Stone,"Adventure, Family, Fantasy",6.2,24002,"549,632",2013
616,Dom Hemingway,"Comedy, Crime, Drama",6.9,1659,"518,134",2013
617,Gwansang,"Drama, History",7.2,24644,"515,876",2013
618,Tracks,"Adventure, Biography, Drama",3.6,4808,"508,806",2013
619,Besharam,"Action, Comedy, Romance",5.9,12597,"504,000",2013
620,Phantom,"Drama, History, Thriller",7.5,4671,"489,984",2013
621,The Inevitable Defeat of Mister & Pete,Drama,7.6,16813,"487,348",2013
622,Sinsegye,"Crime, Drama",6.7,27742,"457,806",2013
623,Upstream Color,"Drama, Sci-Fi",6.2,6825,"444,098",2013
624,In Secret,"Crime, Drama, Thriller",6.8,5418,"420,266",2013
625,The German Doctor,"Drama, History, Thriller",4.9,3712,"414,912",2013
626,The Torn Poster Let Out a Hero,"Action, Comedy",6.4,19050,"390,207",2013
627,Ain't Them Bodies Saints,"Crime, Drama, Romance",5.2,966,"387,606",2013
628,Si ren ding zhi,"Comedy, Drama",7.8,2219,"375,892",2013
629,Gekijouban Mahou shojo Madoka magika Shinpen: Hangyaku no monogatari,"Animation, Drama, Fantasy",7.3,12903,"375,627",2013
630,Lootera,"Drama, Romance",6.9,41909,"375,442",2013
631,Joe,"Crime, Drama",5.9,5446,"373,375",2013
632,Shootout at Wadala,"Action, Crime, History",4.4,5205,"369,310",2013
633,Grand Fun,"Comedy, Drama, Romance",6.3,1306,"362,560",2013
634,Walking with the Enemy,"Action, Drama, History",6.2,35168,"357,000",2013
635,Lovelace,"Biography, Drama",7.5,11740,"356,582",2013
636,Omar,"Crime, Drama, Romance",6.1,52651,"356,000",2013
637,Drinking Buddies,"Comedy, Drama, Romance",7.2,15295,"342,936",2013
638,Venus in Fur,Drama,7,12000,"342,183",2013
639,Casse-tête chinois,"Comedy, Drama, Romance",5.5,17242,"335,430",2013
640,Diana,"Biography, Drama, Romance",6.7,75236,"331,634",2013
641,Nymphomaniac: Vol. II,Drama,5,3099,"326,983",2013
642,Gori Tere Pyaar Mein!,"Comedy, Drama, Romance",6.9,707,"325,885",2013
643,Camp,Drama,6.8,11256,"324,977",2013
644,L'inconnu du lac,"Drama, Romance, Thriller",5.7,5532,"324,891",2013
645,Jimi: All Is by My Side,"Biography, Drama, Music",5.6,604,"323,032",2013
646,Not Today,Drama,6.2,28877,"317,903",2013
647,Adoration,"Drama, Romance",6.4,1966,"317,125",2013
648,Elle s'en va,"Comedy, Drama",6.2,4538,"311,372",2013
649,The Face of Love,"Drama, Mystery, Romance",6.2,2160,"309,427",2013
650,Viaggio sola,"Drama, Romance",5.7,11455,"306,387",2013
651,The Love Punch,Comedy,6.5,13803,"303,586",2013
652,L'écume des jours,"Comedy, Drama, Fantasy",6.6,10138,"303,012",2013
653,Go Goa Gone,"Action, Adventure, Comedy",4.6,975,"295,414",2013
654,Innocence,"Adventure, Fantasy, Horror",7.8,16800,"294,039",2013
655,"Like Father, Like Son",Drama,1.7,7245,"278,442",2013
656,Brave Man,Action,5.7,1786,"270,880",2013
657,The Last of Robin Hood,"Biography, Drama, Romance",5.8,15225,"269,642",2013
658,Life of Crime,"Comedy, Crime",7.1,56515,"261,695",2013
659,Blue Ruin,"Crime, Drama, Thriller",6,12219,"258,113",2013
660,Night Moves,"Action, Drama, Thriller",6.8,4078,"252,903",2013
661,The Attacks of 26/11,"Action, Crime, History",5.6,83,"248,346",2013
662,Gibsonburg,"Drama, Mystery, Romance",5.8,1964,"247,500",2013
663,Singh Saab the Great,"Action, Drama",6.1,41050,"223,660",2013
664,The Zero Theorem,"Comedy, Drama, Fantasy",6.9,4336,"219,438",2013
665,The Suspect,"Action, Thriller",6.4,17477,"218,693",2013
666,Prince Avalanche,"Comedy, Drama",5.7,4236,"204,951",2013
667,Ghanchakkar,"Comedy, Crime, Thriller",6.5,42833,"203,044",2013
668,The Double,"Comedy, Drama, Thriller",5.8,7389,"200,268",2013
669,Crystal Fairy y el cactus mágico,"Adventure, Comedy, Drama",7.5,6345,"190,704",2013
670,La danza de la realidad,"Biography, Drama, Fantasy",7.2,9089,"189,500",2013
671,Vi är bäst!,"Drama, Music",8.8,22004,"180,222",2013
672,Drishyam,"Crime, Drama, Thriller",5.8,8709,"176,000",2013
673,Afternoon Delight,"Comedy, Drama",5.7,11917,"174,496",2013
674,A.C.O.D.,Comedy,5.6,788,"172,344",2013
675,Copperhead,Drama,5.2,8457,"171,740",2013
676,Escape from Tomorrow,"Drama, Fantasy, Horror",6.2,795,"169,719",2013
677,"Cinco de Mayo, La Batalla","Drama, History, War",6.5,68176,"169,379",2013
678,Horns,"Crime, Drama, Fantasy",7,2242,"164,480",2013
679,On the Job,"Action, Crime, Drama",7.3,10146,"161,217",2013
680,Il capitale umano,Drama,2.9,3932,"157,336",2013
681,InAPPropriate Comedy,Comedy,6.9,27277,"156,414",2013
682,Alan Partridge: Alpha Papa,"Action, Comedy, Crime",5.7,591,"152,211",2013
683,Snake & Mongoose,Sport,6.4,946,"152,200",2013
684,Mother of George,Drama,8.2,30986,"145,400",2013
685,Tangerines,"Drama, War",5,153,"144,501",2013
686,Rangeelay,"Action, Comedy, Drama",6.5,15523,"139,074",2013
687,The Congress,"Animation, Drama, Sci-Fi",6.4,391,"137,815",2013
688,Redwood Highway,Drama,7.6,5331,"132,297",2013
689,O Menino e o Mundo,"Animation, Adventure, Family",6.5,61679,"129,479",2013
690,Europa Report,"Drama, Mystery, Sci-Fi",6.9,9274,"125,687",2013
691,Stereotype,Drama,5.7,2867,"125,000",2013
692,Fukrey,"Comedy, Drama, Romance",6.3,19547,"124,221",2013
693,Make Your Move,"Drama, Musical, Romance",6.9,4494,"122,293",2013
694,Afflicted,"Horror, Mystery, Thriller",7.4,1270,"121,179",2013
695,The Liberator,"Biography, Drama, History",6.3,3937,"113,067",2013
696,Gekijouban Ano hi mita hana no namae wo bokutachi wa mada shiranai.,"Animation, Adventure, Drama",7.6,2546,"109,630",2013
697,Computer Chess,Comedy,6.1,32032,"101,218",2013
698,"Guten Tag, Ramón",Drama,7.1,14771,"100,412",2013
699,Man of Tai Chi,"Action, Drama",6.4,5578,"100,144",2013
700,The Young and Prodigious T.S. Spivet,"Action, Adventure, Comedy",7.4,7032,"99,462",2013
701,ABCD (Any Body Can Dance),"Drama, Musical",5.9,1225,"95,236",2013
702,Pozitia copilului,Drama,7.1,8665,"94,853",2013
703,Final: The Rapture,Thriller,6.5,659,"92,100",2013
704,A Touch of Sin,"Action, Drama",6.8,10226,"91,714",2013
705,King's Faith,Drama,6.2,1947,"90,106",2013
706,One Chance,"Biography, Comedy, Drama",6.5,3721,"89,722",2013
707,Girl on a Bicycle,"Comedy, Drama, Romance",4.5,375,"89,378",2013
708,Di Renjie: Shen du long wang,"Action, Adventure, Drama",5.7,17837,"87,783",2013
709,Settai,"Comedy, Crime",6,5172,"87,260",2013
710,Knights of Badassdom,"Action, Adventure, Comedy",5.9,884,"86,796",2013
711,Blue Caprice,"Biography, Crime, Drama",7.8,91919,"86,749",2013
712,Tian tai ai qing,"Action, Comedy, Drama",6.2,99,"85,755",2013
713,The Best Offer,"Crime, Drama, Mystery",5.9,17963,"85,433",2013
714,Water & Power,"Crime, Drama",6.8,2412,"79,043",2013
715,We Are What We Are,"Drama, Horror, Thriller",7.1,65,"76,633",2013
716,Dong-chang-saeng,"Action, Drama",6.5,862,"76,543",2013
717,Blackbird,Drama,7.6,38,"75,000",2013
718,Le temps de l'aventure,"Drama, Romance",6.6,163,"74,709",2013
719,The Greed of Men,Action,7.2,84375,"73,000",2013
720,Seasons of Gray,Drama,7,2707,"70,600",2013
721,Coherence,"Horror, Mystery, Sci-Fi",6.3,21381,"68,877",2013
722,A nagy füzet,"Drama, War",6.4,1443,"65,270",2013
723,The Art of the Steal,"Comedy, Crime, Thriller",6.5,25498,"61,446",2013
724,La jalousie,Drama,7.3,541,"60,426",2013
725,How I Live Now,"Romance, Sci-Fi, Thriller",6.6,2485,"60,213",2013
726,Siddharth,Drama,5.8,10067,"59,808",2013
727,Bicycling with Molière,"Comedy, Drama",6.7,15967,"59,624",2013
728,Feuchtgebiete,"Comedy, Drama",6.8,14038,"59,437",2013
729,Cheap Thrills,"Comedy, Crime, Drama",6.3,407,"59,379",2013
730,Borgman,"Drama, Horror, Mystery",6.3,450,"56,474",2013
731,Max Rose,Drama,5.6,3340,"56,365",2013
732,Go for Sisters,"Crime, Drama, Thriller",7.3,3679,"55,963",2013
733,C.O.G.,"Comedy, Drama",5.2,720,"55,301",2013
734,Ilo Ilo,Drama,6.1,1549,"54,071",2013
735,Line of Duty,"Action, Crime, Thriller",6.2,5912,"53,668",2013
736,Half of a Yellow Sun,"Drama, Romance",6.6,2291,"53,645",2013
737,Hateship Loveship,"Drama, Romance",7.7,5970,"50,573",2013
738,The Retrieval,"Adventure, Drama, Western",5.1,391,"50,257",2013
739,Grzeli nateli dgeebi,Drama,6.5,6935,"50,000",2013
740,Fei chang xing yun,"Action, Adventure, Comedy",3.8,9640,"50,000",2013
741,At Middleton,"Comedy, Romance",7,3758,"49,953",2013
742,The Canyons,"Drama, Thriller",6.8,27964,"49,494",2013
743,Viva la libertà,"Comedy, Drama",7.1,6635,"48,125",2013
744,Young & Beautiful,"Drama, Romance",6.1,602,"48,022",2013
745,"1,000 Times Good Night","Drama, War",7,2463,"47,331",2013
746,A Master Builder,Drama,3.3,906,"46,874",2013
